,Name,Jupyter/IPython Version,Language(s) Version,3rd party dependencies,Example Notebooks,Notes
85,Maxima-Jupyter,Jupyter,Maxima,Quicklisp,,
86,Calysto LC3,,,,,Assembly Language for the Little Computer 3
87,Yacas,,YACAS,,,
88,IJython,,Jython 2.7,,,
89,ROOT,Jupyter,C++/python,ROOT >= 6.05,,
90,Gnuplot Kernel,,Gnuplot,,Example,MetaKernel
91,Tcl,Jupyter,Tcl 8.5,,,Based on Bash Kernel
92,J,Jupyter Notebook/Lab,J 805-807 (J901beta),,Examples,
93,Jython,Jupyter>=4.0,Jython>=2.7.0,Java>=7,,Java based JSR223 compliant
94,C,Jupyter,C,gcc,,
95,TaQL,Jupyter,TaQL,python-casacore,TaQL tutorial,
96,Coconut,Jupyter,Coconut,,,
97,SPARQL,Jupyter 4,Python 2.7 or >=3.4,"rdflib, SPARQLWrapper",Examples,Optional GraphViz dependency
98,AIML chatbot,Jupyter 4,Python 2.7,pyAIML,Examples,
99,IArm,Jupyter 4,ARMv6 THUMB,,Examples,Based off of the ARM Cortex M0+ CPU
100,SoS,Jupyter 4,Python >=3.4,"Support kernels for bash, python2/3, matlab/octabe, javascript, julia, R, Stata, SAS, and more",Examples,"Workflow system, Multi-Kernel support"
101,jupyter-nodejs,"Jupyter, iPython 3.x","NodeJS, Babel, Clojurescript",,Examples,
102,Pike,IPython >= 3,Pike >= 7.8,,,"Wrapper, Based on Bash Kernel"
103,imatlab,ipykernel >= 4.1,MATLAB >= 2016b,,,
104,jupyter-kotlin,Jupyter,Kotlin 1.1-M04 EAP,Java >= 8,,
105,jupyter_kernel_singular,Jupyter,Singular 4.1.0,,Demo,"Optional PySingular for better performance, surf for images, details"
106,spylon-kernel,ipykernel >=4.5,"python >= 3.5, scala >= 2.11",Apache Spark >=2.0,Example,MetaKernel
107,mit-scheme-kernel,Jupyter 4.0,MIT Scheme 9.2,,,
108,elm-kernel,Jupyter,,,Examples,
109,SciJava Jupyter Kernel,Jupyter 4.3.0,Java + 9 scripting languages,Java,Examples,
110,Isbt,Jupyter 4.3.0,sbt >= 1.0.0,sbt,example,
111,BeakerX,,,"Groovy, Java, Scala, Clojure, Kotlin, SQL",example,docker image
112,MicroPython,Jupyter,ESP8266/ESP32,USB or Webrepl,developer notebooks,relies on the micro-controller's paste-mode
113,IJava,Jupyter,Java 9,Java JDK >= 9,Binder online demo,Based on the new JShell tool
114,Guile,Jupyter 5.2,Guile 2.0.12,"guile-json, openssl",,
115,circuitpython_kernel,Jupyter,CircuitPython,USB,Examples,
116,stata_kernel,Jupyter >=5,Stata,Stata >=14,,Communicates natively with Stata
117,iPyStata,Jupyter,Stata,Stata,Example Notebook,Implemented using magics machinery of ipython.
118,IRacket,IPython >= 3,Racket >= 6.10,"Racket, ZeroMQ",Example,
119,jupyter-dot-kernel,Jupyter >= 4.0,dot/graphviz,graphviz version 2.40.1,,
120,Teradata SQL kernel and extensions,JupyterLab >= 0.34,SQL,ZeroMQ,Example Notebooks,
121,HiveQL Kernel,Jupyter >= 5,HiveQL,pyhive,,Display HiveQL queries in HTML tables
122,EvCxR Jupyter Kernel,"Jupyter 4, JupyterLab, nteract",Rust >= 1.29.2,ZeroMQ 4.x.x,"Examples, Binder online demo",
123,StuPyd Kernel,Jupyter >= 4,StuPyd Programming Language,"Python3, antlr4-python3-runtime >= 4.7.1",nbviewer demo,
124,coq_jupyter,Jupyter 5,Coq,coq,Binder online demo,
125,Cadabra2,Jupyter 5,Cadabra2,,Example notebook,
126,iMongo,,MongoDB,,,
127,jupyter_kernel_chapel,Jupyter,Chapel,,,
128,A Jupyter kernel for Vim script,Jupyter,Vim script,,,
129,SSH Kernel,Jupyter,Bash,"paramiko, metakernel",Examples,A Jupyter kernel specialized in executing commands remotely with paramiko SSH client.
130,GAP Kernel,Jupyter,GAP >= 4.10,,Binder demo,A Jupyter kernel for the computational algebra system GAP.
131,Wolfram Language for Jupyter,,"Wolfram Engine, i.e., a Wolfram Desktop or Mathematica installation; wolframscript is optional but recommended",,,A Jupyter kernel for the Wolfram Language (Mathematica).
132,GrADS kernel,,GrADS >= 2.0,,,
133,Bacatá,Jupyter,Java & Rascal,ZeroMQ & Rascal,Example,A Jupyter kernel generator for domain-specific languages.
134,nelu-kernelu,Jupyter,NodeJs 12,NodeJs 12.3+,Examples,An advanced NodeJs Jupyter kernel supporting comms and displays among other things.
135,IPolyglot,Jupyter,"JavaScript, Ruby, Python, R, and more",GraalVM,Example Polyglot Notebook,Dockerfile
136,Emu86 Kernel,Jupyter,Intel Assembly Language,,Introduction to Intel Assembly Language Tutorial,
