,hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
180,Ikoi-no-Ie Kyoto,Kyoto,2700,2.2km from city centre,8,Fabulous,6,8.8,8,8,9.2,8.4,7.6,135.757046,34.994033
181,iloha Hostel Namba Shinsaibashi,Osaka,2600,3.7km from city centre,9.2,Superb,8.7,9.6,9.2,9.6,9.2,8.5,9.4,135.503048,34.673766
182,IM Guest House,Osaka,1900,6.2km from city centre,8.3,Fabulous,7,8,7,8,9,10,9,NA,NA
183,Imano Kyoto Kiyomizu Hostel,Kyoto,2200,1.9km from city centre,9.2,Superb,8.6,9.8,9.3,9.1,9.4,9.2,9.3,135.776144,34.995592
184,Imano Tokyo Ginza Hostel,Tokyo,2700,7.6km from city centre,8.9,Fabulous,8.3,9.3,8.9,8.8,9.3,9.2,8.7,139.7729057,35.6723059
185,Imano Tokyo Hostel,Tokyo,3300,1.5km from city centre,8.6,Fabulous,7.7,8.9,8.1,9.3,8.6,9.2,8.1,139.7077128,35.6935053
186,IRORI Nihonbashi Hostel and Kitchen,Tokyo,2100,8.3km from city centre,9,Superb,8.9,8.9,8.9,9,9.2,9.3,8.8,139.7836767,35.6926538
187,Iza Tokyo Asakusa Guesthouse,Tokyo,2500,9.9km from city centre,9.3,Superb,9.3,9.3,9.2,9.4,9.2,9.6,9.2,139.799302,35.706708
188,J-Hoppers Hiroshima Guesthouse,Hiroshima,2300,1.1km from city centre,9.1,Superb,8.5,9.3,9,9.3,9.3,9.4,9.2,132.4472444,34.3930208
189,J-Hoppers Kyoto Guest House,Kyoto,1900,3.6km from city centre,9,Superb,8.4,9.1,8.3,8.9,9.4,9.7,9.3,135.761616,34.979439
190,J-Hoppers Osaka Guesthouse,Osaka,2300,1.9km from city centre,9.5,Superb,9.5,9.6,9.2,9.5,9.6,9.7,9.6,135.484861,34.697435
191,J-Hoppers Osaka Universal,Osaka,2500,6.4km from city centre,9.4,Superb,9.3,9.7,9.2,8.7,9.7,10,9.5,135.442876,34.675236
192,J's Backpackers,Tokyo,1600,16.6km from city centre,8.3,Fabulous,8,10,8,4,10,8,10,139.8623809,35.745044
193,Jam Hostel Kyoto Gion,Kyoto,1500,0.9km from city centre,7.7,Very Good,7,8,7,9.4,8,6.9,7.9,135.772379,35.004919
194,Japanize Guest House,Tokyo,1900,8.1km from city centre,7.6,Very Good,7,6,7.7,8.7,7.7,8,8.3,139.7816602,35.6925343
195,JGH Tokyo,Tokyo,1600,13.2km from city centre,8.4,Fabulous,8.1,8,8.1,7.1,8.8,9.8,8.9,139.708425,35.8072664
196,Jimbocho Sakura Hotel,Tokyo,2200,5.9km from city centre,9.4,Superb,9,9.5,10,9,9,9.5,10,139.756455,35.694959
197,Jiyujin,Kyoto,2600,2km from city centre,9.7,Superb,9,10,9.8,9.5,10,9.7,9.7,135.76116,34.9949965
198,Juyoh Hotel,Tokyo,2900,10.7km from city centre,8.3,Fabulous,7.6,8.4,8.4,7.1,8.9,8.9,8.7,139.8007803,35.7267106
199,Kaisu Hostel,Tokyo,3900,4.4km from city centre,9.4,Superb,9.1,9.7,9.3,9.3,9.6,9.5,9.2,139.734537,35.669916
200,"Kaneyoshi Ryokan, Namba Dotombori",Osaka,6500,4.2km from city centre,9.4,Superb,10,9,9,10,9,10,9,135.505474,34.66926
201,Ken's House,Osaka,2000,4.7km from city centre,8.7,Fabulous,7.5,9,9,9.5,8,9,9,NA,NA
202,Khaosan Kyoto Guest House,Kyoto,2000,1.1km from city centre,8.9,Fabulous,8.2,8.8,8.5,9.6,9.1,9,8.9,NA,NA
203,Khaosan Tokyo Kabuki,Tokyo,3000,9.7km from city centre,9.2,Superb,8.8,8.8,8.8,9.8,9.5,9.5,9,139.795251,35.711436
204,Khaosan Tokyo Laboratory,Tokyo,2600,9.3km from city centre,9.1,Superb,7.9,9.3,8.8,9.3,9.4,9.7,9.3,139.791328,35.711861
205,Khaosan Tokyo Origami,Tokyo,2500,10km from city centre,9.5,Superb,8.9,9.7,9.6,9.4,9.7,9.7,9.4,139.797381,35.71634
206,Khaosan Tokyo Samurai,Tokyo,2500,9.5km from city centre,9.2,Superb,8,9.3,9.3,9.4,9.5,9.4,9.4,139.792325,35.714887
207,Khaosan World Asakusa RYOKAN & HOSTEL,Tokyo,2500,9.5km from city centre,8.8,Fabulous,8.5,8.7,8.5,8.9,9,9.2,8.6,139.791771,35.714595
208,Khaosan World Namba,Osaka,2100,4.5km from city centre,8.5,Fabulous,7.4,8.4,8.4,9.1,8.9,9,8.4,135.49717,34.666165
209,Khaosan World Ryogoku Hostel,Tokyo,2300,9.5km from city centre,9,Superb,8.2,9.1,8.9,9.6,9.1,9.3,8.4,139.7967617,35.6943259
210,Khaosan World Tennoji Hostel,Osaka,2300,6.6km from city centre,9,Superb,8.3,9.7,9.7,9.3,8.7,9.3,8,135.5183093,34.64884
211,Kia Ora Budgetstay,Fukuoka-City,2600,2km from city centre,9,Superb,8,8.8,8.8,9.2,9.3,9.8,8.8,130.4225942,33.5951129
212,Kintetsu Friendly Hostel -Osaka Tennoji Park-,Osaka,2000,6.5km from city centre,9,Superb,7.8,9.5,9.1,9.4,9.3,9.1,9,135.5122677,34.6485086
213,Koenji Junjo Hotel,Tokyo,3300,3.9km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Kyo To,Kyoto,2000,1.9km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Kyoto Be Open Hostel,Kyoto,3400,3.8km from city centre,9,Superb,8.7,9.3,8.7,9.3,8.7,9.3,9.3,135.764191,34.977498
216,Kyoto Guesthouse Roujiya,Kyoto,3500,2.1km from city centre,8.1,Fabulous,7.8,9,7.4,8,8.6,8.8,7.4,135.74531,35.009207
217,Kyoto Hana Hostel,Kyoto,1800,2.5km from city centre,8.9,Fabulous,8.1,9.1,8.3,9.8,8.7,9.2,8.8,135.760508,34.9897078
218,Kyoto Hostel ZEN,Kyoto,2500,0.7km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Kyoto Morris Hostel,Kyoto,2800,0.5km from city centre,9.7,Superb,9.4,9.9,9.9,9.3,9.8,9.8,9.8,135.7678365,35.0156844
220,Kyoto Station Base,Kyoto,2500,3.7km from city centre,8.9,Fabulous,8.7,9.3,8.7,8,8.7,10,8.7,135.761469,34.9788089
221,Kyoto Tsukiusagi,Kyoto,3000,8.7km from city centre,7.9,Very Good,6.5,9.5,8,7,9,8,7.5,135.805378,34.940169
222,Kyoto UTANO Youth Hostel,Kyoto,3400,6.4km from city centre,9.3,Superb,9,10,9.5,7,10,10,9.5,135.699365,35.0269847
223,Kyoubashi Ryokan,Hiroshima,3400,1.8km from city centre,8.6,Fabulous,6,10,6,10,10,8,10,132.4718215,34.3938412
224,Len Kyoto,Kyoto,2500,1.4km from city centre,9.6,Superb,9.6,9.6,9.7,9.7,9.6,9.8,9.5,135.7673713,34.998732
225,Little Japan,Tokyo,2100,8.5km from city centre,9.2,Superb,8.7,9.3,9.3,8.7,9.2,9.5,9.5,NA,NA
226,Lore Hostel Dontonbori,Osaka,2000,4.3km from city centre,8.5,Fabulous,7.1,7.7,8.6,9.7,9.1,8.6,8.9,135.503853,34.667931
227,Lucky's,Osaka,2500,3.2km from city centre,7.7,Very Good,2,10,8,8,10,10,6,NA,NA
228,Lyuro Tokyo Kiyosumi -The Share Hotels-,Tokyo,3200,9.1km from city centre,9.4,Superb,9.3,10,10,7.3,10,9.3,10,139.7920658,35.6812172
229,montan HAKATA,Fukuoka-City,3000,2.4km from city centre,9.4,Superb,9.3,9.8,9.7,8.8,9.5,9.5,9.5,130.427977,33.588725
230,Mosaic Hostel Kyoto,Kyoto,2500,3.7km from city centre,9.6,Superb,9.5,9.7,9.7,9.3,9.7,9.7,9.5,135.7552361,34.9803659
231,Mosaic Machiya KSK,Kyoto,4000,3.5km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,Music Uni Street Backpackers Hostel,Osaka,3000,6km from city centre,8.9,Fabulous,9,9,9,8,8,10,9,135.4673702,34.7519746
233,MyCUBE by MYSTAYS Asakusa-Kuramae,Tokyo,3200,9.2km from city centre,8.8,Fabulous,8,9.5,9,8,9,9,9,139.7920033,35.7037857
234,Nadeshiko Hotel Shibuya (Female Only),Tokyo,5500,3.8km from city centre,9.2,Superb,8.7,9.7,9.7,8.7,9.7,9.3,8.7,139.692988,35.6550972
235,Nagomi-Ryokan Yuu,Kyoto,3100,2.2km from city centre,5.1,Rating,6,6,2,8,6,2,6,135.755793,34.99419
236,Nihonbashi Muromachi BAY HOTEL,Tokyo,4000,7.6km from city centre,9.2,Superb,9,9.7,8.7,8.3,10,9.3,9.3,139.7756795,35.6872974
237,Norishico Auto Guesthouse,Fukuoka-City,2800,16.1km from city centre,10,Superb,10,10,10,10,10,10,10,130.528032,33.49096
238,Nui. Hostel & Bar Lounge,Tokyo,2500,9.3km from city centre,9.3,Superb,9.5,9.6,9.4,8.6,9.3,9.6,9.4,139.7933951,35.7038859
239,O-yado Sato,Kyoto,3900,2.3km from city centre,9.1,Superb,9,10,9,8,10,9,9,135.75571,34.994214
240,Oak Hostel Zen,Tokyo,2200,8.8km from city centre,9,Superb,8.2,8.9,8.9,9.1,9.6,9.3,8.9,139.7809311,35.7219034
241,Oak Hotel Edo,Tokyo,2200,9.7km from city centre,7.6,Very Good,4,10,8,8,8,8,7,139.798931,35.6879156
242,Oakhostel Cabin,Tokyo,2100,8.6km from city centre,9,Superb,8.1,9.5,9.1,8.4,9.4,9.2,9.2,139.7859882,35.678055
243,Oakhostel Fuji,Tokyo,2000,10km from city centre,9,Superb,8.2,9.2,8.9,8.9,9.4,9.1,9.2,139.8009084,35.7069254
244,Oakhostel Sakura,Tokyo,1800,11.3km from city centre,9.2,Superb,8,10,9.3,9.3,9.7,9,9,139.8152216,35.70739
245,Obi Hostel,Tokyo,2000,8.2km from city centre,9.1,Superb,8.4,9.2,9,9,9.3,9.4,9.1,139.7819046,35.6920482
246,Okara Guesthouse,Kyoto,1900,2.4km from city centre,9.4,Superb,9.2,9.8,9.4,9.2,9.4,9.4,9.4,135.7550308,34.9925923
247,OKI's Inn,Kyoto,2500,1.1km from city centre,9.4,Superb,8.8,9.6,9.2,10,8.8,10,9.2,135.7789591,35.0086338
248,Omotenashi Hostel Miyajima,Hiroshima,2500,13.5km from city centre,9.1,Superb,8.8,9.7,9.5,7.9,9.2,9.5,9.3,132.319971,34.3369812
249,Osaka Fuku Hostel Nagomi,Osaka,3000,4.4km from city centre,9.3,Superb,8.7,9.6,9,9.8,8.9,9.6,9.2,135.50642,34.667318
250,Osaka Fuku Hostel Namba,Osaka,3000,4.5km from city centre,8.9,Fabulous,8.5,9,8.3,9.7,8.8,9.6,8.4,135.5041027,34.6665276
251,Osaka Guest House Midoriya,Osaka,2800,5.1km from city centre,9.7,Superb,9.7,10,9.6,9.4,9.7,10,9.7,135.5485836,34.6817305
252,Osaka Guesthouse Hive,Osaka,2300,1.3km from city centre,8.3,Fabulous,7.6,8.6,8,8.5,8.6,8.5,8,135.489407,34.7021661
253,Osaka GuestHouse KOMA,Osaka,1500,4.4km from city centre,8.3,Fabulous,8,7.5,7.8,9.1,7.9,9.1,8.8,135.4895197,34.6687377
254,Osaka Guesthouse Nest,Osaka,1500,6.7km from city centre,8.5,Fabulous,7.8,9,8.2,8.7,8.3,9.2,8,135.52325,34.6494472
255,Osaka Guesthouse Sakura,Osaka,2500,0.9km from city centre,8.8,Fabulous,8.9,8.9,8.4,8.3,8.5,9.4,9.2,135.505511,34.69898
256,Osaka Guesthouse SUN,Osaka,2300,4.3km from city centre,9.1,Superb,8.8,9,8.5,9.5,8.8,9.5,9.4,135.4918195,34.6693182
257,Osaka Hana Hostel,Osaka,2600,3.7km from city centre,9.5,Superb,8.5,9.6,9.6,9.8,9.5,9.8,9.6,135.498216,34.6731483
258,Osaka Hostel Kai,Osaka,2600,2.8km from city centre,9.1,Superb,8.9,9.1,8.9,8.6,8.9,9.7,9.7,135.4764591,34.6931733
259,Osaka International Youth Hostel,Osaka,2900,20.3km from city centre,9.4,Superb,10,10,10,6,10,10,10,135.433003,34.532974
260,Osaka Namba Hostel MIYABI,Osaka,2000,5km from city centre,8.9,Fabulous,7.6,9.1,8.8,9.3,9,9.2,9.4,135.4967377,34.6620588
261,Oshiteruya,Osaka,2800,6.5km from city centre,7.3,Very Good,6.7,8,6.7,7.3,6.7,8,8,135.549222,34.663197
262,Peace House Abeno,Osaka,1200,6.9km from city centre,9,Superb,9,9.1,9.1,8.2,9.1,9.1,9.3,135.5072578,34.6447906
263,Peace House Sachi,Osaka,1200,6.5km from city centre,8.6,Fabulous,8.8,8.2,7.9,8.9,8.4,9.2,8.8,135.5042885,34.6484984
264,Peace House Sakura,Kyoto,1300,1.8km from city centre,6.3,Good,6.8,5.8,5.3,6.5,6.3,6.8,7,135.773323,34.995831
265,Peace House Showa,Osaka,1200,6.8km from city centre,7.5,Very Good,8,6.4,5.6,8,6.4,9.6,8.4,135.5065439,34.6457488
266,Peace House Suzunami,Osaka,1200,6.4km from city centre,8.2,Fabulous,8.4,7.1,7.9,8.7,8,8.9,8.2,135.5122777,34.6493107
267,Picnic Hostel Osaka,Osaka,2000,4.4km from city centre,9.4,Superb,8.6,9.8,9.4,9.5,9.5,9.5,9.6,135.487358,34.6692926
268,Piece Hostel Kyoto,Kyoto,2700,3.2km from city centre,9.7,Superb,9.2,9.9,9.8,9.8,9.9,9.9,9.6,135.7621209,34.9836157
269,Piece Hostel Sanjo,Kyoto,2900,0.5km from city centre,9.6,Superb,9.1,9.8,9.7,9.6,9.8,9.9,9.6,135.764655,35.008028
270,Planetyze Hostel,Tokyo,2400,8.5km from city centre,9.3,Superb,8.6,9.5,9,9.3,9.6,9.6,9.3,139.786004,35.694492
271,Poly Hostel Osaka,Osaka,3800,5.9km from city centre,9.4,Superb,8,10,10,8,10,10,10,NA,NA
272,Prime Inn Shinsaibashi,Osaka,2600,3.3km from city centre,9.2,Superb,8.7,9.3,8.7,9.3,10,9.3,9.3,135.5074622,34.677238
273,Qoo Ebisucho,Osaka,2000,5.5km from city centre,5.7,Rating,6,8,6,6,2,8,4,135.5053576,34.657003
274,Quality Hostel K's House Tokyo Oasis,Tokyo,3000,9.6km from city centre,9,Superb,8.2,9.6,8.4,9.1,9.5,9.3,8.7,139.7935305,35.715796
275,R.Star Hostel Kyoto,Kyoto,2400,1.8km from city centre,9.6,Superb,8.7,10,9.7,9.3,9.8,9.9,9.8,135.758374,34.997989
276,Retrometro Backpackers,Tokyo,3000,9.2km from city centre,9.4,Superb,9.4,9.4,9,9.4,9.5,9.8,9.6,139.7893615,35.7131573
277,RokuRoku,Kyoto,2500,2.4km from city centre,9.7,Superb,10,10,10,9,10,9,10,NA,NA
278,Roots Hostel,Osaka,3000,3.1km from city centre,8,Fabulous,7.8,7.9,7.6,7.5,8,9.1,8.1,NA,NA
279,RYOKAN＆HOSTEL WASABI Nippori,Tokyo,2000,9.1km from city centre,8.7,Fabulous,8.2,8.6,8.9,8.5,8.8,8.9,8.9,139.777723,35.732782
280,Sakai Guest House,Osaka,2000,14.7km from city centre,6.6,Good,7,6,6,6,7,8,6,NA,NA
281,Sakura Guest House,Osaka,2700,4.3km from city centre,4.9,Rating,4,4,4,8,4,6,4,137.2414859,36.135716
282,Sakura Hostel Asakusa,Tokyo,2400,9.8km from city centre,8.6,Fabulous,7.7,8.6,8.4,8.9,9,9,8.7,139.7948263,35.7160224
283,Sakura Hotel Ikebukuro,Tokyo,2300,5.1km from city centre,8.3,Fabulous,7.3,8.2,7.9,9,7.8,9.1,8.8,139.7088026,35.7336139
284,Sakura Hotel Nippori,Tokyo,1900,7.8km from city centre,9.1,Superb,8.6,9.4,8.9,9.1,9.7,9.4,8.6,139.764175,35.7281692
285,Sakura La An,Osaka,2900,1.2km from city centre,9.6,Superb,9.3,9.8,9.5,9.2,9.6,9.8,9.7,135.5123668,34.6997902
286,Santiago Guesthouse Hiroshima,Hiroshima,2000,0.7km from city centre,8.9,Fabulous,8.5,8.9,8.7,9.6,9,8.6,8.8,132.4594088,34.3903664
287,Santiago Guesthouse Kyoto,Kyoto,1300,2km from city centre,8.8,Fabulous,8.4,9.3,8.7,8.5,8.7,9.2,8.8,135.775802,34.994416
288,Senba Hostel,Osaka,3500,3.2km from city centre,9.1,Superb,9,9.5,9,9,9.5,9,8.5,135.506513,34.678133
289,Sheena and Ippei,Tokyo,3700,4.2km from city centre,9.1,Superb,10,10,8,8,8,10,10,139.6930044,35.7273553
290,Shell Nell namba,Osaka,1003200,4.8km from city centre,8.3,Fabulous,6,8,9,9,9,9,8,135.506291,34.663375
291,Shibamata FU-TEN Bed and Local,Tokyo,3000,18.5km from city centre,4.9,Rating,2,4,2,2,10,10,4,139.8778804,35.7597827
292,Shin-Osaka Tomato Guest House,Osaka,1500,1.9km from city centre,9,Superb,7.4,9.6,9.1,8.4,9.3,9.6,9.4,135.495927,34.722974
293,Shin-Osaka Youth Hostel,Osaka,3200,2.8km from city centre,8.9,Fabulous,7,10,9,9,10,8,9,135.5037061,34.7321448
294,Small World Guesthouse in Kyoto,Kyoto,1600,3.9km from city centre,8.1,Fabulous,8.5,8.9,8,7.8,6.9,7.1,9.1,135.7512884,35.0435832
295,Space Hostel Tokyo,Tokyo,2200,9.1km from city centre,9.1,Superb,8.6,9.6,9,8.7,9.2,9.4,9.2,139.785652,35.718662
296,Sparkling Dolphins Inn Kyoto,Kyoto,3000,3.6km from city centre,6.2,Good,5.3,6.7,5.7,7,5.7,7,6,135.7628498,34.9797912
297,Stayto (former: Oak Hotel),Tokyo,2500,8.7km from city centre,9,Superb,8.3,9.1,8.5,9.2,9.4,9.5,8.8,139.78462,35.711382
298,Suzuki Guesthouse,Kyoto,1600,2.2km from city centre,9.1,Superb,8.6,9.6,8.7,8.4,9.8,9.6,8.9,135.7451539,35.0176229
299,Tabetoma Nijo Castle,Kyoto,1500,1.3km from city centre,8.8,Fabulous,8.5,9.3,8.6,8.9,9,9,8.7,135.748218,35.0142299
300,Tabicolle Backpackers,Fukuoka-City,2500,2.3km from city centre,10,Superb,10,10,10,10,10,10,10,130.4248084,33.5821253
301,Tadaima Japan Shinjuku Ryokan,Tokyo,7600,2.8km from city centre,8.4,Fabulous,8,9,9,8,8,9,8,139.7229976,35.6897213
302,Talbot,Kyoto,2000,29.5km from city centre,10,Superb,10,10,10,10,10,10,10,NA,NA
303,Tanaka Gokurakudo Guest House,Kyoto,2000,2.7km from city centre,8.7,Fabulous,8.2,9.1,8,9.3,8.7,8.9,8.4,135.7583091,34.98891
304,Tani9 Backpackers Osaka,Osaka,2000,4.5km from city centre,9,Superb,8.8,8.9,8.6,9.5,9.2,9.5,8.7,135.513636,34.6670278
305,The Blend Inn,Osaka,2300,4.5km from city centre,9.6,Superb,9.8,9.9,9.5,8.5,10,9.9,9.6,135.460685,34.684522
306,The Dorm Hostel Osaka,Osaka,3800,3.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,The Evergreen Hostel,Hiroshima,2000,1.5km from city centre,9,Superb,8.6,9.1,8.7,9.2,8.9,9.3,9,132.449763,34.3978868
308,THE LIFE hostel & bar lounge,Fukuoka-City,2400,0.9km from city centre,9.1,Superb,8.9,9.4,9.2,9.3,8.8,9.2,8.9,130.4113419,33.5912939
309,The Lower East Nine Hostel,Kyoto,3000,3.7km from city centre,9.4,Superb,8.8,9.8,9.6,8.9,9.7,9.6,9.2,135.7600257,34.9793866
310,The Millennials Kyoto,Kyoto,2700,0.5km from city centre,9.6,Superb,9.3,9.8,9.8,9.9,9.6,9.4,9.5,135.7688947,35.0075126
311,The Millennials Shibuya,Tokyo,6300,3.1km from city centre,9.3,Superb,8.9,10,9.3,9.8,9.5,8.9,8.7,139.6996954,35.6621966
312,THE NEXT DOOR lower east nine hostel,Kyoto,3000,4km from city centre,9.5,Superb,8.6,9.7,9.9,9,9.6,9.8,9.7,135.7500613,34.9791577
313,The Pax Hostel/Records/More,Osaka,2300,6km from city centre,9.5,Superb,9.5,9.4,9.3,9.4,9.4,9.9,9.5,135.5054521,34.6527146
314,The Prime Pod Ginza Tokyo,Tokyo,3700,7.2km from city centre,9,Superb,7.9,9.2,9.2,9.5,9.6,9,8.4,139.7670874,35.6692691
315,The Prime Pod Kyoto,Kyoto,2500,0.4km from city centre,9.8,Superb,9.4,10,10,9.6,9.9,9.9,9.6,135.7702541,35.0090836
316,Toco Tokyo Heritage Hostel,Tokyo,3000,9.1km from city centre,9.2,Superb,10,10,7.3,8.7,8.7,10,10,139.7839281,35.7220369
317,Tokyo Central Youth Hostel,Tokyo,1003200,4.8km from city centre,8,Fabulous,6,10,10,8,8,8,6,139.743522,35.700821
318,Tokyo Hostel ENISHI,Tokyo,3300,4.7km from city centre,8.6,Fabulous,7.5,9,9,8.5,9,9,8.5,139.6794363,35.6482038
319,Tokyo Hostel Fuji,Tokyo,2000,1.6km from city centre,9.2,Superb,8.8,9.3,9,9,9.4,9.8,9.2,139.674336,35.692835
320,Tokyo House Inn,Tokyo,3800,1.5km from city centre,6.8,Good,6,6.7,6.7,8,6,7.3,6.7,139.7038187,35.6990062
321,Tokyo Hutte,Tokyo,3000,11.3km from city centre,7.1,Very Good,8,6,4,8,10,8,6,139.8150041,35.7088828
322,Tokyo Sumidagawa Youth Hostel,Tokyo,2500,8.9km from city centre,7.7,Very Good,6.5,6,8,8,9,9,7.5,139.7892234,35.6991309
323,TOKYO-W-INN Asakusa,Tokyo,2500,9.3km from city centre,8.9,Fabulous,8.2,9.2,8.9,8.9,8.8,9.4,9.2,139.7923088,35.7083161
324,Tomato Kyoto Station,Kyoto,1500,3.1km from city centre,8.3,Fabulous,8.3,8.3,8,7.3,8.3,9.3,8.7,135.751832,34.986881
325,Tonagi Hostel × Cafe,Fukuoka-City,2500,2km from city centre,8.9,Fabulous,9,9,9.3,7.3,9.3,9,9.3,130.41452,33.604248
326,Train Hostel HOKUTOSEI,Tokyo,2100,8.3km from city centre,8.7,Fabulous,7.4,9.3,9,8.7,8.8,9.2,8.8,139.7828434,35.694048
327,Turn Table Hostel,Tokyo,5400,3.8km from city centre,9.6,Superb,9.4,9.9,9.7,9.7,9.6,9.6,9.3,139.6929157,35.6553861
328,Umbrella House Osaka,Osaka,2300,8.5km from city centre,6.8,Good,6,8,6.6,5.4,7.4,7.4,6.9,135.546582,34.639764
329,Uno Ueno,Tokyo,1500,8.2km from city centre,8.8,Fabulous,7.8,9.3,8.5,8.9,9.2,9.3,8.6,139.7791708,35.7087463
330,Unplan Kagurazaka,Tokyo,3200,4km from city centre,9.5,Superb,9.2,9.9,9.6,8.8,9.6,9.8,9.6,139.7313228,35.7050654
331,Very Hostel Namba,Osaka,2500,4.9km from city centre,9,Superb,8.8,9.2,9.2,8.8,8.4,9.2,9.2,135.4888061,34.6636522
332,WeBase HAKATA,Fukuoka-City,3000,0.9km from city centre,9.5,Superb,9,9.8,9.7,9.4,9.7,9.7,9.3,130.408271,33.595674
333,WIRED HOTEL Asakusa,Tokyo,5200,9.7km from city centre,9.5,Superb,8.9,10,9.9,9.1,9.7,9.6,9.5,139.793905,35.7158533
334,Wise Owl Hostels Shibuya,Tokyo,2500,4km from city centre,9.1,Superb,8.9,9.6,9.1,8.4,9.6,9.5,8.8,139.6897743,35.6537001
335,Wise Owl Hostels Tokyo,Tokyo,2000,7.9km from city centre,9.1,Superb,8.4,9.5,9.1,9.1,9.4,9.3,9.1,139.7772748,35.6747807
336,With B,Tokyo,4000,8.6km from city centre,9.1,Superb,8.5,9.5,9,8,9,9.5,10,NA,NA
337,YADOKARI Namba Hostel,Osaka,2500,4.7km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,YADOYA Guesthouse Green,Tokyo,2300,2.6km from city centre,8.2,Fabulous,7.9,7.7,6.9,8.9,8.9,8.8,8.3,139.6681253,35.7029083
339,YADOYA Guesthouse Orange,Tokyo,2000,2.9km from city centre,8.9,Fabulous,8.6,9,7.8,9.4,9,9.2,9.4,139.6676947,35.7065126
340,YAWP! backpackers,Tokyo,2500,17.5km from city centre,9.3,Superb,9.5,9.3,9.4,8.5,9.5,9.2,9.6,139.8691966,35.7528846
341,You En Me House,Kyoto,2800,2.4km from city centre,8,Fabulous,7.3,8,6.7,8,8.7,10,7.3,135.749063,34.997376
342,Zabutton Hostel,Tokyo,2900,5.9km from city centre,8.6,Fabulous,8.1,8.5,7.8,9,8.9,9.5,8.5,139.742116,35.65547
