,hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
47,Capsule Hotel Asahi Plaza Shinsaibashi,Osaka,3000,4km from city centre,9.9,Superb,10,10,10,10,10,10,9,135.497847,34.6707858
48,Capsule Inn Kinshichou,Tokyo,2600,10.9km from city centre,8.6,Fabulous,6,10,8,8,10,8,10,139.81198,35.6981223
49,Capsule Resort Kyoto Square,Kyoto,3100,1.3km from city centre,9.6,Superb,9.1,10,9.6,10,9.8,9.8,9.1,135.7535562,35.0112333
50,Capsule Value Kanda,Tokyo,3000,7.1km from city centre,8.6,Fabulous,8,8.7,7.3,9.3,8.7,9.3,8.7,139.7707637,35.6895954
51,Casa Macondo,Osaka,3000,5km from city centre,6.9,Good,6.5,6.5,7.5,7,7,6.5,7,NA,NA
52,Centurion Cabin & Spa Kyoto,Kyoto,2500,1.1km from city centre,8.9,Fabulous,7.9,9.6,9.1,9.6,8.9,8.5,8.6,135.761618,35.003533
53,Centurion Hotel Residential Akasaka,Tokyo,2600,4.5km from city centre,9,Superb,7.5,9.3,9.3,9.3,9.5,8.9,9,139.7376971,35.6738463
54,Centurion Ladies Hostel Uenopark (Female only),Tokyo,2500,7.4km from city centre,8.9,Fabulous,7.7,8.9,9.1,9.1,9.3,8.9,9.3,139.770129,35.709199
55,Chaganjutei,Kyoto,3300,14.1km from city centre,9.6,Superb,10,10,9,9,9,10,10,135.8007905,34.8876476
56,CITAN Hostel,Tokyo,2500,8.1km from city centre,9.4,Superb,9.3,9.8,9.5,9.1,9.5,9.6,9.3,139.781352,35.691571
57,Coco Hostel Osaka,Osaka,2100,4.7km from city centre,8.5,Fabulous,7.2,9.2,8,9.8,8.2,8.8,8.2,135.508221,34.6644243
58,Colours,Kyoto,1600,1.8km from city centre,8.9,Fabulous,4,10,10,8,10,10,10,NA,NA
59,Comics & CapsuleHotel COMICAP kyotoshinkyogoku,Kyoto,2000,0.7km from city centre,9.6,Superb,9.1,9.8,9.8,9.8,9.4,9.3,9.7,135.7676061,35.0053862
60,Common de Hostel & Bar,Fukuoka-City,2500,0.8km from city centre,9.9,Superb,10,10,10,9,10,10,10,130.4032209,33.5978245
61,Daikoku Hostel,Osaka,2800,5.8km from city centre,8,Fabulous,6,8,8,8,9,9,8,135.4971528,34.6550004
62,Dotombori Base,Osaka,2500,4.3km from city centre,8.7,Fabulous,8.6,8.3,7.7,9.7,8.6,9.4,8.9,135.5052683,34.6678045
63,Downtown Inn Kyoto,Kyoto,1000,1.4km from city centre,9.3,Superb,8.9,9.7,9.7,9.1,9.1,8.6,9.7,135.755182,35.0052769
64,Drop Inn Osaka,Osaka,2800,1.4km from city centre,8.8,Fabulous,8.3,9.5,9,8.3,9.1,8.5,8.7,135.4886189,34.7001589
65,Edo Tokyo Hostel,Tokyo,1800,15.8km from city centre,8.1,Fabulous,8,8.5,8,7.5,7,8.5,9,139.8638707,35.7129526
66,Emblem Hostel Nishiarai,Tokyo,2000,13.3km from city centre,9.3,Superb,9.5,9.8,9.7,7.4,9.8,9.8,9.5,139.791216,35.7782
67,ENAKA Asakusa Central Hostel,Tokyo,2600,9.7km from city centre,9.3,Superb,8.9,9.8,9.3,9.6,9.6,9.1,8.9,139.795301,35.7121845
68,Ezstay Osaka,Osaka,2000,4.6km from city centre,3.1,Rating,2,2,2,4,6,2,4,135.535271,34.6757318
69,Fairfield House,Kyoto,1700,1.9km from city centre,9.3,Superb,9.1,9.6,9.4,8.7,9.3,9.6,9.7,NA,NA
70,Family & bAKpAK Tokyo Hostel,Tokyo,1800,9.8km from city centre,7.4,Very Good,6.5,6.5,7.5,7.5,8.5,6.5,9,139.79148,35.72369
71,Friends Kyo,Kyoto,2200,1.2km from city centre,10,Superb,10,10,10,10,10,10,10,135.7718,35.001371
72,FUJITAYA Kyoto,Kyoto,3500,2.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Fukuoka Backpackers Hostel,Fukuoka-City,2300,2.5km from city centre,8.3,Fabulous,7.5,8.6,8,8.2,8.8,8.9,8.1,130.428142,33.584119
