ResourceType      Locations           Name                    Zones    Restrictions
----------------  ------------------  ----------------------  -------  --------------
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Standard_LRS            1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             Premium_LRS             1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             StandardSSD_LRS         1,2,3    None
disks             eastus2             UltraSSD_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Standard_LRS            1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           Premium_LRS             1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           StandardSSD_LRS         1,2,3    None
disks             centralus           UltraSSD_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Standard_LRS            1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          Premium_LRS             1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          StandardSSD_LRS         1,2,3    None
disks             westeurope          UltraSSD_LRS            1,2,3    None
