,Payment Date,Payment Amount
0,07/08/2021,$429.75
1,06/11/2021,$300.80
2,05/14/2021,$203.04
3,04/19/2021,$235.41
4,03/08/2021,$299.83
5,02/08/2021,$308.25
6,01/07/2021,$329.88
7,12/14/2020,$206.68
8,11/16/2020,$225.34
9,10/02/2020,$381.56
10,09/08/2020,$443.28
11,08/14/2020,$559.98
12,07/13/2020,$405.35
13,06/15/2020,$294.10
14,05/26/2020,$289.40
15,04/20/2020,$209.51
16,03/23/2020,$217.90
17,02/24/2020,$266.25
