cat,still,flow,,,,,
1,157.5,164.5,,,,,
2,84.5,51.5,,,,,Mean
3,134,250,,,,,Standard Deviation
4,74,139,,,,,
5,108,113,,,,,
6,107.5,124.5,,,,,
7,106,95.5,,,,,
8,163,70.5,,,,,
9,54,30.5,,,,,
